,서울특별시,인천광역시,경기도,대전광역시,세종특별자치시,충청북도,충청남도,광주광역시,전라북도,전라남도,대구광역시,경상북도,부산광역시,울산광역시,경상남도,강원도,제주특별자치도
서울특별시, 226.4 , 25.0 , 129.8 , 9.3 , 2.5 , 16.9 , 28.6 , 9.9 , 12.7 , 19.0 , 11.5 , 28.5 , 18.3 , 20.7 , 28.7 , 9.7 , 3.8 
인천광역시, 24.0 , 38.994 , 39.2 , 2.4 , 0.7 , 6.6 , 8.7 , 3.3 , 5.1 , 5.4 , 4.2 , 8.1 , 4.4 , 5.2 , 7.7 , 3.8 , 1.3 
경기도, 99.0 , 27.4 , 270.4 , 8.6 , 2.3 , 20.7 , 40.9 , 11.4 , 11.2 , 13.0 , 11.3 , 28.7 , 16.9 , 24.9 , 29.4 , 8.9 , 3.0 
대전광역시, 7.2 , 1.2 , 6.7 , 12.1 , 1.3 , 2.3 , 5.6 , 0.9 , 1.2 , 1.1 , 0.9 , 2.4 , 1.2 , 1.6 , 1.8 , 0.7 , 0.2 
세종특별자치시, 1.8 , 0.5 , 2.4 , 1.1 , 2.0 , 0.7 , 1.3 , 0.2 , 0.4 , 0.3 , 0.3 , 0.6 , 0.4 , 1.0 , 0.5 , 0.2 , 0.1 
충청북도, 17.6 , 4.9 , 24.8 , 2.9 , 0.8 , 29.1 , 8.5 , 2.2 , 2.7 , 2.4 , 2.8 , 6.6 , 3.7 , 5.0 , 5.0 , 1.9 , 0.8 
충청남도, 25.7 , 9.2 , 46.6 , 4.8 , 2.4 , 9.4 , 65.2 , 6.3 , 6.1 , 5.2 , 4.6 , 12.2 , 6.6 , 10.8 , 13.6 , 3.1 , 1.0 
광주광역시, 4.2 , 1.1 , 6.6 , 0.6 , 0.2 , 0.9 , 1.7 , 17.8 , 2.6 , 5.5 , 0.7 , 1.9 , 1.1 , 1.7 , 2.0 , 0.4 , 0.3 
전라북도, 13.0 , 2.7 , 11.3 , 1.8 , 0.7 , 3.0 , 4.6 , 2.3 , 28.2 , 3.3 , 2.0 , 4.6 , 2.6 , 2.6 , 3.7 , 1.6 , 0.8 
전라남도, 18.3 , 6.6 , 31.9 , 2.0 , 0.6 , 5.7 , 8.9 , 6.5 , 6.2 , 45.6 , 3.7 , 11.2 , 6.6 , 8.0 , 11.0 , 2.2 , 1.2 
대구광역시, 9.4 , 1.9 , 8.8 , 0.9 , 0.3 , 2.1 , 3.1 , 1.1 , 2.1 , 1.7 , 24.2 , 14.5 , 2.8 , 5.9 , 6.0 , 0.8 , 0.3 
경상북도, 23.1 , 6.6 , 37.6 , 2.7 , 1.1 , 6.3 , 12.2 , 4.1 , 6.9 , 5.4 , 9.9 , 69.3 , 8.6 , 18.7 , 16.0 , 3.1 , 1.1 
부산광역시, 12.0 , 2.9 , 14.1 , 1.3 , 0.6 , 2.7 , 4.5 , 1.7 , 2.6 , 3.5 , 2.7 , 5.7 , 45.9 , 15.1 , 22.7 , 1.5 , 0.7 
울산광역시, 22.6 , 8.1 , 30.4 , 2.2 , 1.0 , 4.9 , 11.8 , 2.5 , 4.7 , 5.7 , 5.1 , 13.5 , 9.0 , 50.2 , 14.9 , 2.4 , 1.0 
경상남도, 18.4 , 5.8 , 27.7 , 2.2 , 0.7 , 3.9 , 9.5 , 2.9 , 4.0 , 5.7 , 4.2 , 10.1 , 11.0 , 15.3 , 77.1 , 2.3 , 0.8 
강원도, 8.4 , 2.3 , 8.6 , 0.8 , 0.3 , 2.0 , 2.3 , 0.6 , 1.1 , 1.3 , 1.0 , 2.6 , 1.8 , 1.5 , 2.3 , 15.9 , 0.5 
제주특별자치도, 4.2 , 0.6 , 2.9 , 0.3 , 0.1 , 0.4 , 0.6 , 0.4 , 0.7 , 0.9 , 0.4 , 0.6 , 0.6 , 0.5 , 0.8 , 0.3 , 6.5 
